Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production,Happiness_Rank,GDP_Scaled,Predicted,Residual,Abs_Residual,Food_Quantile,Residuals
Central African Republic,4185,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,3.6217992240026677,1,-2.2967217010950374,5.413511370819276,-2.330511370819276,2.330511370819276,Low,-2.330511370819276
Afghanistan,21471,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,4.331872498488898,2,-1.4531514251571103,5.4696309168205755,-2.2666309168205756,2.2666309168205756,Medium-High,-2.2666309168205756
Rwanda,18547,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,4.268297087223766,3,-1.4297189174921678,5.464606332252699,-2.130606332252699,2.130606332252699,Medium-High,-2.130606332252699
Yemen,18325,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,4.263067682228994,4,-1.6171789788117072,5.464193034294998,-2.084193034294998,2.084193034294998,Medium-High,-2.084193034294998
Malawi,17215,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,4.235932253986295,5,-1.8671257272377595,5.462048427578694,-2.0520484275786934,2.0520484275786934,Medium-High,-2.0520484275786934
Botswana,2224,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,3.3473300153169503,6,0.3459444411179135,5.391819120263976,-1.9038191202639756,1.9038191202639756,Low,-1.9038191202639756
Haiti,8204,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,3.914078585389112,7,-1.5234489481519375,5.43661121932213,-1.8396112193221303,1.8396112193221303,Medium-Low,-1.8396112193221303
Zimbabwe,9524,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,3.978864984347657,8,-1.4114936337527682,5.441731512434476,-1.7787315124344762,1.7787315124344762,Medium-Low,-1.7787315124344762
Lesotho,1801,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,3.255754786643044,9,-1.0912493623318884,5.3845816133153255,-1.5825816133153254,1.5825816133153254,Low,-1.5825816133153254
Madagascar,19488,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,4.2897895556069106,10,-1.651025934327735,5.466304956340449,-1.5333049563404488,1.5333049563404488,Medium-High,-1.5333049563404488
Liberia,3310,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,3.5199591807520685,11,-2.1743519388447825,5.405462600083451,-1.4304626000834513,1.4304626000834513,Low,-1.4304626000834513
India,1238335,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,6.092838498599574,12,-0.39868858023470105,5.608806148449226,-1.593806148449226,1.593806148449226,High,-1.593806148449226
Togo,6379,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,3.8048206787211623,13,-1.6484223223649637,5.427976189192748,-1.3429761891927479,1.3429761891927479,Low,-1.3429761891927479
Zambia,10180,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,4.007790437445979,14,-0.8595278976452355,5.444017591004232,-1.3370175910042317,1.3370175910042317,Medium-Low,-1.3370175910042317
Egypt,131916,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,5.1203007662093825,15,0.012682109883177098,5.531943128854015,-1.3659431288540143,1.3659431288540143,High,-1.3659431288540143
Uganda,40247,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,4.604744304317692,16,-1.500016440486995,5.491196919104983,-1.3021969191049827,1.3021969191049827,Medium-High,-1.3021969191049827
Swaziland,1269,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,3.103803720955957,17,-0.25288631031950365,5.3725723952146405,-1.1605723952146407,1.1605723952146407,Low,-1.1605723952146407
