Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,21471,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
Albania,6952,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Algeria,63455,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Argentina,65063,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
Armenia,5862,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Australia,43975,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Austria,18167,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Azerbaijan,15928,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Bangladesh,114184,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Belarus,17445,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Belgium,22268,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
Benin,12473,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
Bosnia and Herzegovina,6994,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Botswana,2224,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Brazil,312488,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Bulgaria,10224,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Burkina Faso,18890,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Cambodia,12421,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Cameroon,30520,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
Canada,67893,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Central African Republic,4185,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
Chad,8194,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
Chile,24642,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
Colombia,64621,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
Costa Rica,6642,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Croatia,7404,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Cyprus,1454,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
Denmark,11589,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
Dominican Republic,14399,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Ecuador,17149,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Egypt,131916,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
El Salvador,6926,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
Estonia,2613,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Ethiopia,66726,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
Finland,11874,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
France,120542,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Gabon,2535,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
Gambia,1408,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
Georgia,5635,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Germany,158473,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Ghana,44967,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
Greece,23836,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
Guatemala,13791,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
Guinea,11423,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
Haiti,8204,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
Honduras,8263,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
Hungary,14348,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
Iceland,604,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
India,1238335,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Indonesia,237826,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
Iraq,30961,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Ireland,10643,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
Israel,14263,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Italy,121163,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
Jamaica,3878,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
Japan,153161,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
Jordan,8477,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
Kazakhstan,32695,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
Kenya,47401,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Kuwait,6123,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
Kyrgyzstan,8442,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
Latvia,3542,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
Lebanon,7408,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Lesotho,1801,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Liberia,3310,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Lithuania,6340,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Luxembourg,1218,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
Madagascar,19488,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Malawi,17215,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Malaysia,31580,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Mali,15737,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
Malta,826,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
Mauritania,3894,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
Mauritius,1589,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
Mexico,166591,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
Mongolia,3280,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
Montenegro,1502,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Morocco,47208,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Mozambique,25077,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Myanmar,51583,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Namibia,2693,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
Nepal,33509,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Netherlands,35849,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
New Zealand,7603,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
Nicaragua,5358,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
Niger,16267,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Nigeria,228877,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Norway,9707,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Pakistan,180994,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
Panama,4524,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
Paraguay,8316,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
Peru,40447,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
Philippines,100429,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Poland,70616,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
Portugal,21604,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Romania,43598,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
Rwanda,18547,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Saudi Arabia,35912,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
Senegal,10653,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Serbia,14236,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Sierra Leone,6144,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Slovakia,7709,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
Slovenia,3700,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
South Africa,59621,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Spain,81051,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Sri Lanka,20550,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Swaziland,1269,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
Sweden,19719,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
Switzerland,15983,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
Tajikistan,8543,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
Thailand,78567,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
Togo,6379,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
Tunisia,18479,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
Turkey,145101,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
Turkmenistan,7082,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
Uganda,40247,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
Ukraine,79580,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
United Arab Emirates,13095,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
United Kingdom,122946,15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
Uruguay,5316,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
Uzbekistan,47311,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
Yemen,18325,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Zambia,10180,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Zimbabwe,9524,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
