Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production
Afghanistan,21471,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,4.331872498488898
Albania,6952,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,3.8421722293856155
Algeria,63455,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,4.802472692525209
Argentina,65063,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,4.813340759292092
Armenia,5862,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,3.7681198941847973
Australia,43975,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,4.643215723957674
Austria,18167,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,4.259307121211679
Azerbaijan,15928,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,4.202188512266052
Bangladesh,114184,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,5.0576090562294835
Belarus,17445,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,4.24169586813981
Belgium,22268,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,4.347700715272348
Benin,12473,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,4.096005739715113
Bosnia and Herzegovina,6994,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,3.8447877188278463
Botswana,2224,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,3.3473300153169503
Brazil,312488,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,5.494834734245271
Bulgaria,10224,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,4.009663316679379
Burkina Faso,18890,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,4.276254948021725
Cambodia,12421,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,4.094191524909532
Cameroon,30520,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,4.484598758882028
Canada,67893,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,4.831831396047397
Central African Republic,4185,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,3.6217992240026677
Chad,8194,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,3.9135489579065177
Chile,24642,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,4.391693577036909
Colombia,64621,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,4.810380394961764
Costa Rica,6642,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,3.8223642524415493
Croatia,7404,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,3.8695250628572273
Cyprus,1454,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,3.162862993321926
